tag category,Tag,Linked tag category,Linked tag
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Chem_shift_isotope_effect_list,_Chem_shift_isotope_effect_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Mol_interaction_chem_shift_diff,_Mol_interaction_chem_shift_diff.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Chem_shift_anisotropy,_Chem_shift_anisotropy.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Chem_shifts_calc_type,_Chem_shifts_calc_type.Modeled_sample_conditions_ID
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,RDC_list,_RDC_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Spectral_density_list,_Spectral_density_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,New_data_type_list,_New_data_type_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,H_exch_rate_list,_H_exch_rate_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,H_exch_protection_factor_list,_H_exch_protection_factor_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Homonucl_NOE_list,_Homonucl_NOE_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Heteronucl_NOE_list,_Heteronucl_NOE_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Heteronucl_T1_list,_Heteronucl_T1_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Heteronucl_T1rho_list,_Heteronucl_T1rho_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Heteronucl_T2_list,_Heteronucl_T2_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Dipole_dipole_relax_list,_Dipole_dipole_relax_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Cross_correlation_list,_Cross_correlation_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Order_parameter_list,_Order_parameter_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,PH_titration_list,_PH_titration_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,D_H_fractionation_factor_list,_D_H_fractionation_factor_list.Sample_condition_list_label
